Row_ID (interval=1s),CPU_Freq_MHz,Vcore_V,CPU_Temp_C,MB_Temp_C,Package_Power_W,CPU_Fan_RPM
1,2886.821,1.45,34.0,27.0,90.82,1869
2,3320.704,1.32,34.0,27.0,91.17,1869
3,1400.000,1.45,34.0,27.0,77.59,1864
4,1400.000,1.46,34.0,27.0,96.39,1864
5,1400.000,1.40,34.0,27.0,95.78,1864
6,1893.851,1.45,35.0,27.0,90.27,1869
7,1816.889,1.46,35.0,26.0,94.67,1864
8,1451.179,1.46,35.0,27.0,93.01,1869
9,3331.979,1.40,35.0,26.0,95.34,1869
10,1400.000,1.46,35.0,27.0,96.25,1859
11,1645.418,1.40,36.0,27.0,91.20,1869
12,1400.000,1.42,36.0,27.0,95.46,1896
13,1424.221,1.45,36.0,27.0,95.03,1906
14,1720.752,1.45,36.0,27.0,95.04,1906
15,3783.784,1.42,36.0,26.0,93.26,1912
16,3774.731,1.45,36.0,27.0,96.21,1906
17,1400.000,1.46,36.0,27.0,94.31,1906
18,3890.393,1.46,37.0,26.0,94.85,1934
19,1400.000,1.46,37.0,27.0,94.84,1945
20,1400.000,1.46,37.0,27.0,95.97,1945
21,3841.717,1.46,37.0,27.0,95.33,1950
22,1400.000,1.46,37.0,26.0,93.48,1950
23,1400.000,1.46,37.0,27.0,95.98,1950
24,3587.367,1.46,37.0,27.0,94.87,1956
25,3716.713,1.40,37.0,27.0,95.15,1945
26,3716.709,1.45,38.0,27.0,93.75,1967
27,3674.896,1.45,38.0,27.0,92.77,1991
28,3716.714,1.45,38.0,27.0,92.93,1991
29,3659.239,1.45,38.0,27.0,89.64,1979
30,3716.714,1.45,38.0,27.0,94.11,1985
31,3716.714,1.45,38.0,27.0,93.81,1991
32,3716.678,1.45,38.0,27.0,93.81,1985
33,3716.716,1.46,38.0,27.0,92.93,1991
34,3703.796,1.45,38.0,27.0,92.29,1985
35,3716.709,1.45,38.0,27.0,93.73,1985
36,3716.718,1.45,38.0,26.0,90.57,1991
37,3716.717,1.45,38.0,27.0,94.98,1985
38,3716.709,1.45,38.0,27.0,91.94,1979
39,3716.719,1.45,38.0,27.0,95.68,1985
40,3716.718,1.45,38.0,27.0,93.89,1991
41,3716.714,1.40,38.0,27.0,92.63,1985
42,3664.507,1.40,38.0,27.0,95.91,1985
43,3716.715,1.42,38.0,27.0,95.88,1979
44,3716.713,1.46,38.0,27.0,91.37,1979
45,1400.000,1.43,38.0,27.0,96.32,1985
46,1400.000,1.46,38.0,26.0,93.50,1991
47,3725.742,1.46,39.0,27.0,94.94,2014
48,1409.585,1.45,39.0,27.0,94.65,2020
49,2726.204,1.46,39.0,27.0,92.24,2027
50,1407.519,1.46,39.0,27.0,95.43,2027
51,3033.458,1.46,39.0,26.0,92.74,2027
52,1436.645,1.45,39.0,26.0,94.17,2027
53,1400.000,1.46,39.0,26.0,92.30,2027
