Row_ID (interval=1s),CPU_Freq_MHz,Vcore_V,CPU_Temp_C,MB_Temp_C,Package_Power_W,CPU_Fan_RPM
1,N/A,1.30,30.0,23.0,88.95,1666
2,N/A,1.30,30.0,23.0,91.05,1666
3,N/A,1.30,30.0,23.0,90.37,1666
4,N/A,1.30,30.0,23.0,91.14,1666
5,N/A,1.30,30.0,23.0,91.13,1670
6,N/A,1.30,30.0,23.0,90.71,1670
7,N/A,1.30,30.0,23.0,89.85,1670
8,N/A,1.30,30.0,23.0,91.10,1670
9,N/A,1.30,30.0,23.0,91.10,1674
10,N/A,1.30,30.0,23.0,89.92,1670
11,N/A,1.30,30.0,23.0,91.02,1670
12,N/A,1.30,30.0,23.0,91.11,1674
13,N/A,1.30,30.0,23.0,88.65,1674
14,N/A,1.30,30.0,23.0,87.83,1666
15,N/A,1.30,30.0,23.0,89.64,1666
16,N/A,1.30,30.0,23.0,91.03,1666
17,N/A,1.30,30.0,23.0,90.62,1666
18,N/A,1.30,30.0,23.0,90.63,1666
19,N/A,1.30,30.0,23.0,89.63,1670
20,N/A,1.31,30.0,23.0,90.85,1670
21,N/A,1.31,30.0,23.0,91.14,1666
22,N/A,1.30,30.0,23.0,90.50,1666
23,N/A,1.30,30.0,23.0,91.11,1662
24,N/A,1.30,30.0,23.0,91.10,1666
25,N/A,1.30,30.0,23.0,90.53,1670
26,N/A,1.30,30.0,23.0,89.98,1674
27,N/A,1.30,30.0,23.0,91.08,1670
28,N/A,1.30,30.0,23.0,91.14,1666
29,N/A,1.30,30.0,23.0,90.50,1670
30,N/A,1.30,30.0,23.0,89.44,1670
31,N/A,1.30,30.0,23.0,91.08,1662
32,N/A,1.30,30.0,23.0,89.06,1662
33,N/A,1.30,30.0,23.0,90.22,1666
34,N/A,1.30,30.0,23.0,90.83,1666
35,N/A,1.30,30.0,23.0,90.96,1666
36,N/A,1.31,30.0,23.0,91.02,1670
37,N/A,1.30,30.0,23.0,89.95,1662
38,N/A,1.30,30.0,23.0,90.88,1666
39,N/A,1.30,30.0,23.0,91.01,1666
40,N/A,1.30,30.0,23.0,90.58,1666
41,N/A,1.30,30.0,23.0,89.75,1670
42,N/A,1.30,30.0,23.0,91.10,1666
43,N/A,1.32,30.0,23.0,96.49,1670
44,N/A,1.33,30.0,23.0,94.60,1666
45,N/A,1.32,30.0,23.0,89.91,1662
46,N/A,1.31,31.0,23.0,95.54,1666
47,N/A,1.32,31.0,23.0,91.87,1662
48,N/A,1.32,31.0,23.0,94.66,1666
49,N/A,1.32,31.0,23.0,93.37,1666
50,N/A,1.32,32.0,23.0,91.73,1695
51,N/A,1.33,32.0,23.0,92.73,1704
52,N/A,1.33,32.0,23.0,95.97,1708
53,N/A,1.32,33.0,23.0,94.74,1735
54,N/A,1.33,33.0,23.0,93.77,1744
55,N/A,1.32,33.0,23.0,93.63,1753
56,N/A,1.33,34.0,23.0,96.34,1776
57,N/A,1.31,34.0,23.0,91.82,1785
58,N/A,1.32,34.0,23.0,94.41,1795
59,N/A,1.31,34.0,23.0,92.16,1795
60,N/A,1.32,34.0,23.0,91.98,1790
61,N/A,1.32,34.0,23.0,94.45,1790
62,N/A,1.31,34.0,23.0,93.71,1790
63,N/A,1.32,35.0,23.0,92.06,1814
64,N/A,1.30,35.0,23.0,93.46,1824
65,N/A,1.32,35.0,23.0,94.49,1829
66,N/A,1.32,35.0,23.0,91.12,1829
67,N/A,1.31,36.0,23.0,92.42,1849
68,N/A,1.33,36.0,23.0,90.92,1864
69,N/A,1.32,36.0,23.0,93.10,1869
70,N/A,1.32,36.0,23.0,92.86,1869
71,N/A,1.24,36.0,23.0,95.34,1864
72,N/A,1.32,36.0,23.0,92.45,1859
73,N/A,1.33,37.0,23.0,93.49,1875
74,N/A,1.32,37.0,23.0,91.41,1906
75,N/A,1.32,37.0,23.0,96.40,1906
76,N/A,1.33,37.0,23.0,95.95,1906
77,N/A,1.32,37.0,23.0,95.96,1912
78,N/A,1.32,37.0,23.0,95.03,1912
79,N/A,1.32,37.0,23.0,93.55,1912
80,N/A,1.26,37.0,23.0,93.73,1912
81,N/A,1.33,38.0,23.0,94.54,1917
82,N/A,1.33,38.0,23.0,95.02,1950
83,N/A,1.33,38.0,23.0,96.63,1950
84,N/A,1.33,38.0,23.0,93.58,1950
85,N/A,1.32,38.0,23.0,94.08,1945
86,N/A,1.32,38.0,23.0,94.57,1950
87,N/A,1.33,38.0,23.0,96.05,1950
88,N/A,1.33,38.0,23.0,95.15,1950
89,N/A,1.28,39.0,23.0,95.44,1979
90,N/A,1.33,39.0,23.0,93.64,1991
91,N/A,1.33,39.0,23.0,94.62,1991
92,N/A,1.33,39.0,23.0,91.72,1997
93,N/A,1.33,39.0,23.0,96.97,1997
94,N/A,1.32,39.0,23.0,93.38,1997
95,N/A,1.33,39.0,23.0,95.90,1997
96,N/A,1.33,39.0,23.0,94.89,2002
97,N/A,1.31,39.0,23.0,94.80,1997
98,N/A,1.33,39.0,23.0,94.36,1997
99,N/A,1.33,40.0,23.0,92.91,2020
100,N/A,1.33,40.0,23.0,93.54,2033
101,N/A,1.33,40.0,23.0,94.09,2033
102,N/A,1.33,40.0,23.0,96.91,2039
103,N/A,1.32,40.0,23.0,91.48,2039
104,N/A,1.32,40.0,23.0,93.50,2039
105,N/A,1.32,40.0,23.0,94.83,2039
106,N/A,1.33,40.0,23.0,92.23,2033
107,N/A,1.33,40.0,23.0,92.01,2027
108,N/A,1.33,41.0,23.0,95.09,2045
109,N/A,1.25,41.0,23.0,91.26,2064
110,N/A,1.33,41.0,23.0,93.14,2070
111,N/A,1.26,41.0,23.0,94.75,2076
112,N/A,1.33,41.0,23.0,89.67,2076
113,N/A,1.33,41.0,23.0,96.68,2076
114,N/A,1.33,41.0,23.0,94.75,2076
115,N/A,1.33,41.0,23.0,91.26,2070
116,N/A,1.33,41.0,23.0,93.89,2076
117,N/A,1.32,41.0,23.0,93.40,2070
118,N/A,1.33,41.0,23.0,96.83,2070
119,N/A,1.33,41.0,23.0,93.56,2076
120,N/A,1.33,41.0,23.0,91.57,2070
121,N/A,1.32,41.0,23.0,91.58,2076
122,N/A,1.33,42.0,23.0,92.75,2102
123,N/A,1.27,42.0,23.0,93.89,2109
124,N/A,1.33,42.0,23.0,93.25,2109
125,N/A,1.32,42.0,23.0,93.53,2115
126,N/A,1.33,42.0,23.0,95.36,2109
127,N/A,1.33,42.0,23.0,94.82,2115
128,N/A,1.33,42.0,23.0,89.97,2109
129,N/A,1.32,42.0,23.0,96.55,2115
