Row_ID (interval=1s),CPU_Freq_MHz,Vcore_V,CPU_Temp_C,MB_Temp_C,Package_Power_W,CPU_Fan_RPM
1,4231.847,1.30,32.0,25.0,88.78,1730
2,4246.353,1.30,32.0,25.0,89.11,1735
3,4256.094,1.30,32.0,25.0,90.99,1730
4,4390.501,1.30,32.0,25.0,88.22,1730
5,4224.163,1.30,32.0,25.0,89.49,1735
6,4227.145,1.31,32.0,25.0,88.59,1735
7,4349.422,1.30,32.0,25.0,90.38,1735
8,4297.720,1.30,32.0,25.0,90.57,1735
9,4255.014,1.30,32.0,25.0,90.31,1730
10,4223.267,1.30,32.0,25.0,91.01,1730
11,4368.635,1.30,32.0,25.0,89.95,1730
12,4440.241,1.30,32.0,25.0,89.81,1730
13,4356.633,1.30,32.0,25.0,89.81,1730
14,4222.789,1.30,32.0,25.0,90.98,1730
15,4476.038,1.30,32.0,25.0,89.50,1730
16,4485.626,1.30,32.0,25.0,91.04,1730
17,4421.116,1.30,32.0,25.0,89.17,1730
18,4218.975,1.30,32.0,25.0,91.04,1730
19,4451.792,1.30,32.0,25.0,89.19,1730
20,4345.678,1.30,32.0,25.0,90.98,1730
21,4398.339,1.30,32.0,25.0,91.10,1730
22,4224.185,1.30,32.0,25.0,86.95,1730
23,4413.245,1.31,32.0,25.0,88.19,1730
24,4395.285,1.31,32.0,25.0,86.14,1730
25,4289.325,1.31,32.0,25.0,88.62,1726
26,4218.975,1.31,32.0,25.0,86.89,1726
27,4218.975,1.30,33.0,25.0,88.77,1739
28,4397.927,1.32,33.0,25.0,87.00,1771
29,4218.964,1.30,33.0,25.0,89.53,1767
30,4218.980,1.30,33.0,25.0,86.60,1767
31,4218.969,1.30,33.0,25.0,87.79,1767
32,4218.970,1.30,33.0,25.0,86.76,1771
33,4218.970,1.31,33.0,25.0,86.86,1771
34,4218.940,1.31,33.0,25.0,87.81,1771
35,4218.970,1.30,33.0,25.0,86.80,1771
36,4218.975,1.30,33.0,25.0,87.48,1771
37,4218.975,1.30,33.0,25.0,85.91,1767
38,4218.970,1.30,33.0,25.0,88.03,1771
39,4298.377,1.30,34.0,25.0,87.53,1804
40,4218.975,1.30,34.0,25.0,87.95,1814
41,4218.975,1.30,34.0,25.0,87.56,1819
42,4218.975,1.30,34.0,25.0,87.46,1814
43,4421.067,1.30,34.0,25.0,88.06,1814
44,4218.975,1.31,34.0,25.0,87.17,1814
45,4301.299,1.31,34.0,25.0,87.76,1814
46,4218.975,1.30,34.0,25.0,85.79,1819
47,4395.553,1.30,34.0,25.0,87.84,1824
48,4290.832,1.30,34.0,25.0,86.46,1819
49,4218.975,1.30,34.0,25.0,87.58,1819
50,4218.975,1.31,34.0,25.0,87.02,1809
51,4218.975,1.30,34.0,25.0,89.66,1814
52,4218.975,1.30,34.0,25.0,86.00,1809
53,4303.686,1.31,34.0,25.0,88.70,1814
54,4218.975,1.30,34.0,25.0,87.62,1814
55,4218.975,1.31,34.0,25.0,88.71,1814
56,4231.789,1.30,34.0,25.0,88.28,1809
57,4324.100,1.30,34.0,25.0,88.18,1814
58,4218.975,1.30,34.0,25.0,87.65,1814
59,4249.655,1.30,34.0,25.0,88.31,1814
60,4218.975,1.31,34.0,25.0,86.77,1814
61,4218.975,1.30,34.0,25.0,87.87,1809
62,4231.197,1.31,34.0,25.0,88.21,1804
63,4218.975,1.31,34.0,25.0,88.32,1809
64,4218.975,1.31,34.0,25.0,88.69,1809
65,4240.736,1.31,35.0,25.0,86.05,1839
66,4218.975,1.31,35.0,25.0,86.75,1849
67,4218.975,1.31,35.0,25.0,84.64,1849
68,4218.975,1.31,35.0,25.0,87.69,1844
69,4218.968,1.31,35.0,25.0,88.28,1849
70,4218.975,1.30,35.0,25.0,88.23,1854
71,4218.975,1.30,35.0,25.0,86.88,1849
72,4218.975,1.32,35.0,25.0,88.09,1854
73,4218.975,1.30,35.0,25.0,88.17,1849
74,4218.980,1.30,35.0,25.0,88.43,1849
75,4218.976,1.31,35.0,25.0,88.49,1844
76,4218.975,1.30,35.0,25.0,86.11,1849
77,4218.975,1.30,35.0,25.0,87.08,1849
78,4218.975,1.31,35.0,25.0,84.98,1849
79,4219.000,1.31,35.0,25.0,87.77,1844
80,4218.970,1.31,35.0,25.0,87.49,1844
81,4218.975,1.30,35.0,25.0,87.71,1844
82,4218.975,1.30,35.0,25.0,87.56,1849
83,4218.971,1.31,35.0,25.0,88.90,1854
84,4218.967,1.31,35.0,25.0,86.69,1849
85,4218.965,1.31,35.0,25.0,87.13,1849
86,4218.975,1.31,35.0,25.0,87.90,1844
87,4218.943,1.31,35.0,25.0,86.31,1849
88,4218.975,1.31,35.0,25.0,88.83,1849
89,4218.976,1.30,35.0,25.0,87.26,1854
90,4218.975,1.30,35.0,25.0,88.69,1849
91,4311.317,1.31,35.0,25.0,86.37,1849
92,4218.975,1.31,35.0,25.0,86.87,1849
93,4306.668,1.30,35.0,25.0,85.87,1854
94,4218.975,1.32,35.0,25.0,87.24,1844
95,4289.199,1.31,36.0,25.0,86.52,1869
96,4218.975,1.30,36.0,25.0,87.20,1890
97,4222.706,1.31,36.0,25.0,87.44,1901
98,4337.359,1.31,36.0,25.0,87.50,1901
99,4296.996,1.30,36.0,25.0,86.91,1896
100,4378.485,1.30,36.0,25.0,87.77,1890
101,4218.975,1.30,36.0,25.0,86.68,1890
102,4396.670,1.31,36.0,25.0,87.54,1896
103,4387.876,1.31,36.0,25.0,86.97,1890
104,4368.600,1.30,36.0,25.0,86.66,1890
105,4218.975,1.30,36.0,25.0,87.86,1890
106,4218.975,1.30,36.0,25.0,86.93,1890
107,4218.975,1.30,36.0,25.0,88.81,1890
108,4218.975,1.30,36.0,25.0,87.72,1890
109,4218.975,1.30,36.0,25.0,88.85,1890
110,4218.975,1.30,36.0,25.0,87.77,1885
111,4218.975,1.31,36.0,25.0,87.41,1890
112,4218.975,1.30,36.0,25.0,87.55,1885
113,4218.975,1.30,36.0,25.0,88.25,1890
114,4218.975,1.31,36.0,25.0,86.19,1890
115,4218.975,1.30,36.0,25.0,87.87,1890
116,4218.975,1.32,36.0,25.0,85.93,1890
117,4218.975,1.30,36.0,25.0,87.95,1890
118,4218.975,1.30,36.0,25.0,87.66,1890
119,4369.260,1.30,36.0,25.0,88.01,1896
120,4218.975,1.30,36.0,25.0,86.60,1896
121,4218.975,1.31,36.0,25.0,88.18,1901
122,4218.975,1.30,36.0,25.0,88.23,1901
123,4244.489,1.31,36.0,25.0,88.43,1901
124,4218.975,1.30,36.0,25.0,88.51,1896
125,4218.975,1.30,36.0,25.0,86.14,1896
126,4239.525,1.31,36.0,25.0,87.64,1890
127,4414.550,1.31,36.0,25.0,85.59,1896
128,4218.975,1.31,36.0,25.0,88.25,1896
129,4306.987,1.31,36.0,25.0,87.58,1896
130,4228.338,1.30,36.0,25.0,87.73,1896
131,4218.975,1.31,37.0,25.0,88.73,1896
132,4218.975,1.31,37.0,25.0,87.78,1928
133,4299.695,1.32,37.0,25.0,88.85,1934
134,4254.637,1.32,37.0,25.0,86.86,1939
135,4218.975,1.31,37.0,25.0,88.90,1945
136,4218.975,1.31,37.0,25.0,87.40,1939
137,4249.230,1.31,37.0,25.0,87.56,1934
138,4250.638,1.32,37.0,25.0,87.66,1939
139,4218.975,1.31,37.0,25.0,88.22,1939
140,4218.975,1.31,37.0,25.0,86.71,1939
141,4347.488,1.31,37.0,25.0,88.15,1945
142,4256.764,1.31,37.0,25.0,87.63,1939
143,4218.975,1.31,37.0,25.0,88.39,1934
144,4369.899,1.31,37.0,25.0,88.78,1928
145,4269.952,1.31,37.0,25.0,87.47,1928
146,4267.892,1.31,37.0,25.0,88.15,1928
