Row_ID (interval=1s),CPU_Freq_MHz,Vcore_V,CPU_Temp_C,MB_Temp_C,Package_Power_W,CPU_Fan_RPM
1,4219.475,1.30,33.0,25.0,88.94,1814
2,4227.101,1.30,33.0,26.0,89.71,1814
3,4249.486,1.31,33.0,25.0,90.71,1809
4,4218.975,1.30,33.0,26.0,89.57,1809
5,4218.975,1.30,33.0,26.0,91.14,1819
6,4218.975,1.30,33.0,26.0,89.31,1819
7,4226.926,1.30,33.0,25.0,91.09,1819
8,4301.448,1.30,33.0,26.0,89.28,1819
9,4218.975,1.30,33.0,26.0,91.12,1819
10,4634.947,1.30,33.0,25.0,89.07,1814
11,4234.461,1.30,33.0,26.0,88.96,1819
12,4218.975,1.30,33.0,26.0,88.83,1814
13,4218.975,1.30,33.0,26.0,90.97,1814
14,4218.975,1.30,33.0,26.0,88.81,1814
15,4218.975,1.31,33.0,26.0,90.80,1819
16,4218.975,1.30,33.0,26.0,91.06,1819
17,3589.152,1.30,33.0,26.0,95.73,1819
18,3548.514,1.24,33.0,25.0,96.87,1819
19,3314.909,1.33,33.0,26.0,92.88,1824
20,3319.620,1.33,33.0,25.0,96.20,1829
21,3314.908,1.24,34.0,26.0,95.82,1814
22,3751.633,1.33,34.0,26.0,94.02,1814
23,3867.283,1.25,34.0,25.0,93.03,1814
24,3825.547,1.33,34.0,25.0,95.94,1819
25,3323.994,1.24,34.0,25.0,93.44,1814
26,3314.910,1.24,35.0,25.0,96.35,1839
27,3740.625,1.24,35.0,25.0,95.76,1849
28,3851.122,1.24,35.0,25.0,95.88,1859
29,3697.107,1.32,35.0,25.0,93.58,1854
30,3314.912,1.32,35.0,25.0,92.25,1854
31,3538.206,1.33,36.0,25.0,95.05,1864
32,3446.275,1.28,36.0,25.0,95.89,1880
33,3855.600,1.28,36.0,25.0,93.52,1885
34,3371.108,1.24,36.0,25.0,93.05,1885
35,3480.637,1.25,36.0,26.0,95.25,1890
36,3783.459,1.25,36.0,26.0,92.51,1896
37,3651.047,1.24,37.0,26.0,95.44,1901
38,3324.231,1.25,37.0,25.0,95.96,1923
39,3867.660,1.24,37.0,25.0,96.68,1928
40,3607.801,1.24,37.0,25.0,96.27,1934
41,3892.793,1.24,37.0,25.0,95.32,1928
42,3770.182,1.24,37.0,26.0,92.75,1934
43,3840.117,1.24,37.0,26.0,93.26,1928
44,3774.636,1.25,38.0,25.0,95.92,1928
45,3727.645,1.24,38.0,26.0,93.56,1962
46,3600.383,1.33,38.0,26.0,96.48,1967
47,3735.506,1.24,38.0,26.0,93.00,1973
48,3731.655,1.24,38.0,26.0,95.71,1967
