Row_ID (interval=1s),CPU_Freq_MHz,Vcore_V,CPU_Temp_C,MB_Temp_C,Package_Power_W,CPU_Fan_RPM
1,4352.394,1.30,34.0,25.0,89.11,1814
2,4219.031,1.30,34.0,25.0,90.02,1819
3,4438.917,1.30,34.0,25.0,91.03,1819
4,4219.031,1.30,34.0,25.0,89.67,1814
5,4219.031,1.30,34.0,25.0,90.95,1814
6,4268.054,1.30,34.0,25.0,89.54,1819
7,4234.578,1.30,34.0,25.0,90.21,1819
8,4361.170,1.31,34.0,25.0,89.98,1814
9,4342.988,1.30,34.0,25.0,89.31,1824
10,4221.639,1.31,34.0,25.0,88.75,1819
11,4219.031,1.30,34.0,25.0,89.69,1814
12,4229.743,1.30,34.0,25.0,88.84,1819
13,4220.165,1.30,34.0,25.0,88.68,1814
14,4262.772,1.32,34.0,25.0,90.20,1819
15,4383.005,1.30,34.0,25.0,90.38,1819
16,4309.863,1.30,34.0,25.0,91.14,1819
17,4219.031,1.31,34.0,25.0,90.59,1819
18,4219.031,1.30,34.0,25.0,88.74,1819
19,4219.031,1.30,34.0,25.0,90.38,1814
20,4234.456,1.30,34.0,25.0,91.08,1819
21,4240.239,1.30,34.0,25.0,90.15,1819
22,4378.541,1.30,34.0,25.0,91.05,1814
23,4219.031,1.30,34.0,25.0,90.05,1814
24,4219.031,1.30,34.0,25.0,91.14,1819
25,4302.361,1.30,34.0,25.0,89.87,1819
26,4219.032,1.32,34.0,25.0,93.78,1814
27,4219.023,1.32,34.0,25.0,93.82,1814
28,4219.031,1.32,34.0,25.0,93.95,1804
29,4219.018,1.32,34.0,25.0,93.81,1809
30,4219.038,1.32,34.0,25.0,93.76,1809
31,4219.036,1.32,35.0,25.0,93.77,1829
32,4219.028,1.32,35.0,25.0,93.75,1844
33,4219.028,1.32,35.0,25.0,93.72,1854
34,4219.021,1.32,36.0,25.0,93.81,1859
35,4218.988,1.32,36.0,25.0,93.91,1885
36,4219.028,1.32,36.0,25.0,93.96,1890
37,4219.025,1.32,36.0,25.0,93.80,1885
38,4219.095,1.32,37.0,25.0,93.66,1880
39,4219.025,1.32,37.0,25.0,93.65,1917
40,4219.022,1.33,37.0,25.0,93.82,1923
41,4219.004,1.32,37.0,25.0,93.92,1923
42,4219.022,1.32,37.0,25.0,94.08,1923
43,4219.038,1.33,38.0,25.0,93.90,1950
44,4219.036,1.33,38.0,25.0,94.08,1962
45,4219.027,1.33,38.0,25.0,93.64,1967
46,4219.027,1.33,38.0,25.0,93.79,1962
47,4219.028,1.33,38.0,25.0,93.79,1967
48,4219.036,1.33,39.0,25.0,93.81,1997
49,4219.026,1.33,39.0,25.0,93.98,2008
50,4219.034,1.33,39.0,25.0,94.37,2002
51,4219.029,1.33,39.0,25.0,93.81,2008
52,4219.023,1.33,39.0,25.0,93.87,2008
53,4219.028,1.33,39.0,25.0,93.92,2008
54,4219.020,1.33,39.0,25.0,95.07,2008
55,4219.027,1.33,40.0,25.0,93.88,2027
56,4219.035,1.32,40.0,25.0,94.02,2045
57,4219.032,1.32,40.0,25.0,93.80,2039
58,4219.028,1.33,40.0,25.0,93.92,2051
59,4219.024,1.33,40.0,25.0,93.84,2051
60,4219.023,1.33,40.0,25.0,93.99,2039
61,4219.034,1.33,40.0,25.0,94.02,2039
62,4219.021,1.33,40.0,25.0,93.55,2045
63,4219.032,1.33,40.0,25.0,93.82,2039
